<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20/12/21;000000;324.0000000;326.0000000;316.1100000;325.9000000;70795770
GAZP;D;21/12/21;000000;326.7500000;339.8800000;326.5000000;339.8800000;80061070
GAZP;D;22/12/21;000000;340.0100000;349.5900000;339.2900000;345.5500000;96809420
GAZP;D;23/12/21;000000;346.1000000;348.3200000;337.0000000;339.8100000;72129000
GAZP;D;24/12/21;000000;339.3000000;340.9800000;334.5500000;338.7900000;39005950
GAZP;D;27/12/21;000000;339.6800000;343.9700000;339.3300000;343.9700000;29925890
GAZP;D;28/12/21;000000;344.0400000;346.6000000;342.5500000;343.2300000;34848840
GAZP;D;29/12/21;000000;343.3000000;344.4800000;337.1300000;340.3300000;43005060
GAZP;D;30/12/21;000000;340.7500000;344.0000000;337.4000000;342.3900000;40853240
GAZP;D;03/01/22;000000;345.0100000;353.8800000;344.3000000;353.7300000;40057980
GAZP;D;04/01/22;000000;353.9900000;358.1000000;348.3500000;352.5500000;52693510
GAZP;D;05/01/22;000000;351.9000000;353.5000000;331.5500000;335.0000000;80969440
GAZP;D;06/01/22;000000;335.8000000;347.6700000;330.1100000;346.1300000;74572470
GAZP;D;10/01/22;000000;348.3300000;351.0000000;340.5100000;344.0000000;51047490
GAZP;D;11/01/22;000000;344.6800000;347.0000000;341.2700000;343.7400000;41961140
GAZP;D;12/01/22;000000;344.1100000;348.6400000;339.5700000;347.4300000;53443260
GAZP;D;13/01/22;000000;347.1100000;347.5000000;333.4900000;337.6000000;118257640
GAZP;D;14/01/22;000000;338.5900000;340.9600000;321.5100000;335.7600000;120546960
GAZP;D;17/01/22;000000;335.9100000;338.9500000;319.1700000;327.8100000;96925780
GAZP;D;18/01/22;000000;329.1500000;329.3000000;296.7000000;301.1100000;220096130
GAZP;D;19/01/22;000000;300.0000000;320.4200000;282.7200000;318.3600000;220036310
GAZP;D;20/01/22;000000;318.3600000;326.6900000;310.0700000;310.4200000;130261430
GAZP;D;21/01/22;000000;309.4900000;321.9900000;303.5000000;311.6000000;119002830
GAZP;D;24/01/22;000000;310.7800000;314.0000000;280.6000000;294.5900000;236346280
GAZP;D;25/01/22;000000;293.9000000;305.0000000;289.6200000;302.9600000;143155040
GAZP;D;26/01/22;000000;302.9000000;307.7000000;293.7000000;299.6000000;125060870
GAZP;D;27/01/22;000000;296.8500000;330.0000000;294.0000000;325.2500000;216008170
GAZP;D;28/01/22;000000;325.5100000;334.9000000;322.0500000;329.5800000;116166660
GAZP;D;31/01/22;000000;330.9200000;336.4100000;330.5200000;334.8000000;69903820
GAZP;D;01/02/22;000000;334.9400000;336.6300000;325.3000000;330.9500000;67998200
GAZP;D;02/02/22;000000;332.3900000;333.7000000;325.7000000;331.7000000;54751740
GAZP;D;03/02/22;000000;329.9900000;331.0000000;322.3000000;323.7500000;57592210
GAZP;D;04/02/22;000000;325.5000000;334.5000000;320.8800000;324.6000000;88647300
GAZP;D;07/02/22;000000;324.5300000;327.4400000;316.6400000;321.2500000;56290530
GAZP;D;08/02/22;000000;321.4500000;331.8700000;319.0000000;331.7000000;77965300
GAZP;D;09/02/22;000000;332.3000000;336.0000000;330.1800000;335.0800000;63254680
GAZP;D;10/02/22;000000;335.4100000;335.4700000;328.1000000;328.9300000;61929870
GAZP;D;11/02/22;000000;328.9500000;328.9500000;316.2000000;318.1000000;100750430
GAZP;D;14/02/22;000000;314.1000000;324.9000000;303.2500000;321.8500000;121203060
GAZP;D;15/02/22;000000;322.5000000;335.5000000;322.4400000;333.6000000;96875770
GAZP;D;16/02/22;000000;335.8600000;339.9800000;331.6200000;336.5000000;77128130
GAZP;D;17/02/22;000000;336.3600000;336.3600000;322.0400000;323.5100000;102149710
GAZP;D;18/02/22;000000;325.6000000;329.3200000;306.7000000;309.4800000;125452970
GAZP;D;21/02/22;000000;309.4700000;318.9000000;241.0000000;257.3000000;413243360
GAZP;D;22/02/22;000000;253.9500000;284.0700000;246.7000000;283.5100000;324922990
GAZP;D;24/02/22;000000;255.0200000;255.0200000;126.5300000;210.0000000;413550130
GAZP;D;25/02/22;000000;208.0100000;244.9400000;191.6000000;228.0000000;211877250
GAZP;D;24/03/22;000000;251.4100000;278.9000000;232.0000000;258.5100000;78576580
GAZP;D;25/03/22;000000;263.9900000;269.3300000;225.6000000;227.0000000;67191030
GAZP;D;28/03/22;000000;225.2500000;229.4500000;213.0300000;218.6000000;24680170
GAZP;D;29/03/22;000000;220.0000000;226.0000000;206.0000000;208.0000000;40309120
GAZP;D;30/03/22;000000;211.0200000;219.4100000;210.5200000;216.0000000;38559960
GAZP;D;31/03/22;000000;218.9800000;249.0000000;217.1000000;242.4800000;83862320
GAZP;D;01/04/22;000000;245.9000000;258.7000000;242.4800000;251.4000000;50423650
GAZP;D;04/04/22;000000;254.0400000;259.9900000;237.3100000;252.9000000;40926330
GAZP;D;05/04/22;000000;254.0100000;256.3900000;231.4500000;243.5000000;39850580
GAZP;D;06/04/22;000000;238.7300000;247.8000000;234.4100000;239.7000000;20530890
GAZP;D;07/04/22;000000;240.0400000;246.8000000;239.1300000;245.0000000;22367990
GAZP;D;08/04/22;000000;246.7900000;246.7900000;240.0000000;241.0700000;14799110
GAZP;D;11/04/22;000000;241.9000000;242.7800000;234.1600000;234.5500000;15637750
GAZP;D;12/04/22;000000;234.0000000;236.6300000;223.0000000;236.3000000;26615790
GAZP;D;13/04/22;000000;237.9900000;239.6400000;232.1300000;234.8700000;12663510
GAZP;D;14/04/22;000000;234.9000000;235.5000000;221.1000000;222.1100000;21906730
GAZP;D;15/04/22;000000;221.9900000;226.6500000;215.7400000;224.0000000;19933030
GAZP;D;18/04/22;000000;224.2900000;226.0000000;216.6000000;216.9900000;15584460
GAZP;D;19/04/22;000000;216.9000000;222.0000000;207.0000000;220.7200000;30669110
GAZP;D;20/04/22;000000;221.4300000;229.8400000;215.6300000;218.9200000;33569140
GAZP;D;21/04/22;000000;220.0300000;221.0000000;210.2900000;210.2900000;24292390
GAZP;D;22/04/22;000000;210.5000000;215.0000000;207.0100000;208.0000000;28717940
GAZP;D;25/04/22;000000;209.9500000;209.9500000;201.1200000;206.3500000;18767820
GAZP;D;26/04/22;000000;207.9700000;229.7400000;206.5400000;225.8500000;46484770
GAZP;D;27/04/22;000000;226.0400000;237.5000000;221.6100000;237.1500000;48219530
GAZP;D;28/04/22;000000;239.4000000;249.0000000;235.5000000;237.5300000;68889640
GAZP;D;29/04/22;000000;238.5800000;245.4300000;238.0000000;240.4000000;43392920
GAZP;D;04/05/22;000000;241.0100000;244.3900000;233.1200000;234.1600000;20919150
GAZP;D;05/05/22;000000;235.5800000;239.4000000;235.0800000;238.6000000;14781210
GAZP;D;06/05/22;000000;238.5000000;242.9200000;235.1000000;240.1000000;17969460
GAZP;D;11/05/22;000000;239.7700000;243.3500000;237.5800000;241.9900000;16477840
GAZP;D;12/05/22;000000;241.8800000;241.8900000;227.2200000;230.5600000;24397760
GAZP;D;13/05/22;000000;232.1200000;237.2000000;229.0200000;235.5200000;17291690
GAZP;D;16/05/22;000000;234.9900000;246.9500000;233.1100000;244.2000000;28222680
GAZP;D;17/05/22;000000;246.0200000;260.0000000;245.3000000;258.8000000;59981560
GAZP;D;18/05/22;000000;261.0200000;269.4200000;261.0000000;264.8400000;51077950
GAZP;D;19/05/22;000000;268.0000000;269.7800000;262.6500000;266.6800000;24769920
GAZP;D;20/05/22;000000;268.4600000;268.9000000;260.4100000;263.0000000;27534560
GAZP;D;23/05/22;000000;265.4400000;273.0000000;263.0000000;263.0000000;30528440
GAZP;D;24/05/22;000000;262.9900000;267.2900000;250.4000000;265.8000000;52284340
GAZP;D;25/05/22;000000;268.4000000;271.6600000;263.8000000;271.4000000;37448790
GAZP;D;26/05/22;000000;273.0000000;298.3100000;245.0000000;295.8900000;146238060
GAZP;D;27/05/22;000000;300.0000000;305.0000000;293.5300000;294.5000000;53491660
GAZP;D;30/05/22;000000;298.6400000;302.0000000;296.2800000;300.8000000;30751410
GAZP;D;31/05/22;000000;301.8700000;302.0000000;293.5100000;293.7500000;19483010
GAZP;D;01/06/22;000000;293.5100000;299.5000000;290.2500000;297.6900000;22504010
GAZP;D;02/06/22;000000;297.7000000;299.3300000;294.9000000;296.0000000;16674500
GAZP;D;03/06/22;000000;296.1000000;297.2400000;291.0000000;297.0000000;18742740
GAZP;D;06/06/22;000000;298.0000000;299.0000000;295.1200000;296.5000000;14699600
GAZP;D;07/06/22;000000;297.3700000;298.6900000;294.5200000;297.9900000;15656500
GAZP;D;08/06/22;000000;298.8000000;309.6000000;298.1600000;308.0000000;40345320
GAZP;D;09/06/22;000000;309.9700000;310.5200000;303.2000000;306.5000000;26287360
GAZP;D;10/06/22;000000;306.4800000;310.9800000;305.0600000;309.2000000;20321460
GAZP;D;14/06/22;000000;308.9800000;322.7700000;307.0000000;317.6900000;47441270
GAZP;D;15/06/22;000000;318.9900000;322.9900000;314.1100000;316.2000000;33652300
GAZP;D;16/06/22;000000;316.5500000;318.2500000;314.5000000;316.9900000;23466240
GAZP;D;17/06/22;000000;317.5800000;317.7000000;313.5000000;315.5000000;13072610
GAZP;D;20/06/22;000000;316.0700000;318.0000000;311.0000000;311.9800000;21010920
GAZP;D;21/06/22;000000;312.3100000;312.8600000;300.7700000;301.5800000;50618050
GAZP;D;22/06/22;000000;300.1000000;301.9100000;294.3600000;295.8000000;48668440
GAZP;D;23/06/22;000000;295.8100000;304.6000000;291.1000000;303.5000000;46696840
GAZP;D;24/06/22;000000;304.1000000;307.4500000;295.5500000;296.0000000;35835180
GAZP;D;27/06/22;000000;296.0000000;299.8000000;295.1000000;296.2000000;22091320
GAZP;D;28/06/22;000000;296.8000000;303.8800000;293.2200000;297.2000000;39920600
GAZP;D;29/06/22;000000;297.9100000;300.7800000;293.8000000;297.6500000;34110040
