<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;17/02/22;000000;277;277;259.36;260.58;262060710
SBER;D;18/02/22;000000;262.14;267;245;250.28;270538090
SBER;D;21/02/22;000000;249.12;258.32;184.3;201;1084339130
SBER;D;22/02/22;000000;198.72;219.9;182.03;208.53;945941710
SBER;D;24/02/22;000000;186.58;187.54;89.59;132.18;828329350
SBER;D;25/02/22;000000;123.75;152.89;115.11;131.12;396287150
SBER;D;24/03/22;000000;131;156.2;130.15;136.24;153705270
SBER;D;25/03/22;000000;137.1;147;128.2;131.5;57307510
SBER;D;28/03/22;000000;130.6;131.47;125;125;32756540
SBER;D;29/03/22;000000;126.19;137.57;122;128.77;72242360
SBER;D;30/03/22;000000;136.5;138.4;131.11;134.6;35411460
SBER;D;31/03/22;000000;135.2;147.41;134.52;143.69;118239240
SBER;D;01/04/22;000000;144.99;155.4;144.51;154.5;118603620
SBER;D;04/04/22;000000;158.76;166.88;150.2;166;115516920
SBER;D;05/04/22;000000;169.83;169.9;147.76;154.1;130008010
SBER;D;06/04/22;000000;143.52;153.3;140.65;141.6;108343440
SBER;D;07/04/22;000000;143.2;149.9;142.5;147.5;58520280
SBER;D;08/04/22;000000;149.01;151;141.06;143.72;48314240
SBER;D;11/04/22;000000;144.12;146.98;138.5;138.69;47482340
SBER;D;12/04/22;000000;138.84;140.1;130.35;135.38;75342120
SBER;D;13/04/22;000000;136.78;138.14;132.72;135.5;38947640
SBER;D;14/04/22;000000;135.7;135.89;129.05;129.05;44206040
SBER;D;15/04/22;000000;128.55;131.72;125.12;130.88;46693490
SBER;D;18/04/22;000000;131.45;132.68;123.7;123.85;58331430
SBER;D;19/04/22;000000;123.85;123.85;115.36;120.3;79797640
SBER;D;20/04/22;000000;120.9;125.44;117.51;121.5;66509740
SBER;D;21/04/22;000000;121.97;123.05;117.85;118.65;40607300
SBER;D;22/04/22;000000;118.69;122.32;115.55;116.97;57392470
SBER;D;25/04/22;000000;115.95;116.4;111.5;111.9;45714280
SBER;D;26/04/22;000000;112.58;124.92;111.9;122.36;83480680
SBER;D;27/04/22;000000;123.01;131.73;120.6;131.11;115400220
SBER;D;28/04/22;000000;132.14;134.5;123.05;123.85;123344490
SBER;D;29/04/22;000000;123.6;130;122.8;128.8;87296290
SBER;D;04/05/22;000000;129.1;131.5;122.5;123.2;67177440
SBER;D;05/05/22;000000;124.21;125.54;122.75;124.8;42303350
SBER;D;06/05/22;000000;124.74;124.99;121.52;123.1;30558900
SBER;D;11/05/22;000000;123.01;126.05;121.86;123.34;32776680
SBER;D;12/05/22;000000;123.1;123.74;118.05;119.15;30817890
SBER;D;13/05/22;000000;120.45;121.59;118.2;120.2;22762650
SBER;D;16/05/22;000000;120.7;123.5;119.5;123.41;34889180
SBER;D;17/05/22;000000;124.01;127.78;123.65;127.75;41838840
SBER;D;18/05/22;000000;128.2;131.3;125;125.12;55422410
SBER;D;19/05/22;000000;125.31;126.86;123.21;125.6;34146310
SBER;D;20/05/22;000000;126.07;127;121.05;122.2;39225870
SBER;D;23/05/22;000000;121.51;122.5;118.9;119.46;37711030
SBER;D;24/05/22;000000;119.45;125;117.1;123.6;45091260
SBER;D;25/05/22;000000;124.12;125.5;120.5;124.15;53466830
SBER;D;26/05/22;000000;124.81;125.99;122;123;51897210
SBER;D;27/05/22;000000;123.1;123.5;120.9;121.22;32523920
SBER;D;30/05/22;000000;121.6;123;120.21;120.67;24894090
SBER;D;31/05/22;000000;120;120;117.62;118.3;29907440
SBER;D;01/06/22;000000;117.5;122.69;117;121.97;43722390
SBER;D;02/06/22;000000;121.9;122.39;118.5;119;42732340
SBER;D;03/06/22;000000;119.29;120.16;117.18;119.21;34298730
SBER;D;06/06/22;000000;119.36;120.35;118.29;118.78;22191350
SBER;D;07/06/22;000000;118.65;118.9;117.32;118.32;22238300
SBER;D;08/06/22;000000;118.5;122.19;118.4;119.9;41488860
SBER;D;09/06/22;000000;120.06;120.2;117.7;118.2;29343850
SBER;D;10/06/22;000000;118.03;119.55;117.73;118.07;25343510
SBER;D;14/06/22;000000;118.04;119.88;115.8;118.98;37579410
SBER;D;15/06/22;000000;119.4;121.71;118.71;121.14;52145030
SBER;D;16/06/22;000000;121.5;123.73;120.41;123.73;47892000
SBER;D;17/06/22;000000;123.9;125.18;123.11;123.88;36503100
SBER;D;20/06/22;000000;124.05;131.5;123.6;131.29;65637580
SBER;D;21/06/22;000000;131.98;133.49;127.11;129.1;75189920
SBER;D;22/06/22;000000;127.88;133.21;126.03;133.11;67693510
SBER;D;23/06/22;000000;133.82;138.4;131.5;136.85;107981870
SBER;D;24/06/22;000000;137.19;138.3;135.21;137.76;45185200
SBER;D;27/06/22;000000;137.7;141.77;136.77;141.15;69806790
SBER;D;28/06/22;000000;141.76;142.35;138.5;139.99;54771750
SBER;D;29/06/22;000000;139.81;139.89;132.75;132.8;55124090
SBER;D;30/06/22;000000;132.5;135.44;123.55;125.2;91333370
SBER;D;01/07/22;000000;124.5;132;122.5;129.91;60560280
SBER;D;04/07/22;000000;129.1;132.8;127.16;131.43;47772880
SBER;D;05/07/22;000000;132;135.7;131.43;133.5;51576470
SBER;D;06/07/22;000000;133.43;137.1;132.5;134;47025990
SBER;D;07/07/22;000000;134.1;135.2;131.22;133.09;42980870
SBER;D;08/07/22;000000;133.16;133.98;130.9;133.3;27594700
SBER;D;11/07/22;000000;132.75;133.9;126.42;126.8;53657260
SBER;D;12/07/22;000000;126.6;129.35;124.2;129;57174340
SBER;D;13/07/22;000000;129.6;129.95;125.36;126;45871190
SBER;D;14/07/22;000000;125.95;128;124.61;125.9;41631700
SBER;D;15/07/22;000000;126.2;129.44;125.27;128.9;44919840
SBER;D;18/07/22;000000;130;130.64;127.25;128.11;35315600
SBER;D;19/07/22;000000;128;128.11;125.51;127.76;32335000
SBER;D;20/07/22;000000;128.12;129.2;126.16;126.44;34673960
SBER;D;21/07/22;000000;126.4;126.83;122.24;125.48;53582090
SBER;D;22/07/22;000000;125.52;129.1;125.03;128.82;46422190
SBER;D;25/07/22;000000;128.93;132;127.24;131.45;55831830
SBER;D;26/07/22;000000;132.04;133.9;131;132.9;50300050
SBER;D;27/07/22;000000;132.9;134.79;131.62;132.5;42456260
SBER;D;28/07/22;000000;133.01;133.49;130.1;131.72;40042950
SBER;D;29/07/22;000000;131.69;132.75;130.31;131.9;27767320
SBER;D;01/08/22;000000;131.77;131.77;127.34;127.34;44231460
SBER;D;02/08/22;000000;126.6;128.44;125.6;127.53;43884150
SBER;D;03/08/22;000000;128.06;129.15;126.27;126.85;30874750
SBER;D;04/08/22;000000;126.94;128.13;126.16;126.95;19529260
SBER;D;05/08/22;000000;127.5;127.58;122.24;122.4;61105370
SBER;D;08/08/22;000000;126.14;127.38;123.51;123.81;52606720
SBER;D;09/08/22;000000;123.9;126.5;122.3;126.4;37895140
SBER;D;10/08/22;000000;126.25;127.29;124.87;126.2;31865110
SBER;D;11/08/22;000000;126.88;126.97;123.07;123.45;30717890
SBER;D;12/08/22;000000;123.48;124.98;122.6;124.88;27133850
SBER;D;15/08/22;000000;124.6;125.7;123.28;125;25301550
SBER;D;16/08/22;000000;125.17;126.86;124.53;126.39;27210450
SBER;D;17/08/22;000000;126.57;127.44;124.5;124.5;32862470
SBER;D;18/08/22;000000;124.39;126.5;123.92;126.3;25365910
SBER;D;19/08/22;000000;126.35;126.36;124.72;125.2;18581110
SBER;D;22/08/22;000000;125.08;126.69;124.7;126.06;24420350
SBER;D;23/08/22;000000;126.06;130.49;126.01;130.38;65383170
SBER;D;24/08/22;000000;130.6;131.64;127.85;128.15;45722080
SBER;D;25/08/22;000000;128.18;129.81;127.1;128.18;35847360
SBER;D;26/08/22;000000;128.14;130.5;127.62;130.4;32857860
SBER;D;29/08/22;000000;130.12;131.4;129.52;131.17;40725660
SBER;D;30/08/22;000000;131.2;132.6;129.65;130.05;50972000
SBER;D;31/08/22;000000;132.3;138.34;131.5;134.25;106571380
SBER;D;01/09/22;000000;133.98;138.22;132.02;138.2;54786340
SBER;D;02/09/22;000000;138.75;144.9;136.22;143.8;136591640
SBER;D;05/09/22;000000;143.48;145.1;139.11;141;87387950
SBER;D;06/09/22;000000;140.9;141.07;135.22;137.23;86562180
SBER;D;07/09/22;000000;136.96;139.19;135.41;136.86;60616830
SBER;D;08/09/22;000000;136.68;137.4;134;134.51;57655660
SBER;D;09/09/22;000000;134.45;138.47;134.23;138.15;48925660
SBER;D;12/09/22;000000;137.12;140.37;136.8;138.7;52455460
SBER;D;13/09/22;000000;138.71;139.37;136.15;137;44533690
SBER;D;14/09/22;000000;136.7;139.29;135.2;138.9;62768230
SBER;D;15/09/22;000000;139.15;140.28;137.61;139.48;56215930
SBER;D;16/09/22;000000;139.38;141.39;136.8;137.73;71732740
SBER;D;19/09/22;000000;137.45;139.08;137.07;138.04;33202580
SBER;D;20/09/22;000000;137.86;138.35;122.42;125.1;208908480
SBER;D;21/09/22;000000;112.5;123.98;109.27;120.23;134746110
SBER;D;22/09/22;000000;120.35;126.95;120.35;124.31;117343820
SBER;D;23/09/22;000000;124.45;124.5;117.35;119.39;85382140
SBER;D;26/09/22;000000;114.99;117.99;105;107.06;147877290
SBER;D;27/09/22;000000;110;113.89;107.07;112.92;90733010
SBER;D;28/09/22;000000;112;115.2;109.13;111.06;77869660
SBER;D;29/09/22;000000;111.59;112.2;107.68;110.41;67451840
SBER;D;30/09/22;000000;110.9;113.4;103.4;110.21;133531450
SBER;D;03/10/22;000000;110.67;114.65;109;114.35;73873990
SBER;D;04/10/22;000000;115.05;115.5;110.3;110.55;83422320
SBER;D;05/10/22;000000;110.46;110.49;106.25;108.51;90327920
SBER;D;06/10/22;000000;108.65;110.38;107.57;108.24;51634990
SBER;D;07/10/22;000000;107.72;108.48;101.3;101.5;90940030
SBER;D;10/10/22;000000;96.55;106.77;96.5;106.71;116896490
SBER;D;11/10/22;000000;106.55;108.3;104.26;107.72;76867120
SBER;D;12/10/22;000000;108.27;108.5;105.25;105.9;63331750
SBER;D;13/10/22;000000;105.7;107.3;104.8;106.5;46813160
SBER;D;14/10/22;000000;106.93;109.19;105.69;107.78;52538120
SBER;D;17/10/22;000000;107.99;112.76;107.65;112.44;78420110
SBER;D;18/10/22;000000;113.05;114.37;110.48;110.88;101627180
SBER;D;19/10/22;000000;110.2;112.93;109.3;112.39;90574840
SBER;D;20/10/22;000000;112.76;117.2;112.37;116.98;100612540
SBER;D;21/10/22;000000;116.93;119.94;114.37;119.45;102297020
SBER;D;24/10/22;000000;120.15;121.68;117.65;118.8;74327210
SBER;D;25/10/22;000000;118.86;125.2;118.3;124.36;114126120
SBER;D;26/10/22;000000;124.71;126.88;122.1;124.43;108350490
SBER;D;27/10/22;000000;124.75;127.5;123.68;126.61;87825200
SBER;D;28/10/22;000000;126.13;127.25;124.6;126.97;73494940
SBER;D;31/10/22;000000;127.2;128.6;125.41;126.72;60649080
SBER;D;01/11/22;000000;127.23;127.97;126.12;127.05;36720430
SBER;D;02/11/22;000000;127.05;127.74;123.75;125.49;40156380
SBER;D;03/11/22;000000;125.39;126.1;123.91;125.75;47535720
SBER;D;07/11/22;000000;127.02;132;126.5;132;91496790
SBER;D;08/11/22;000000;131.99;133.11;130.1;131.29;69371580
SBER;D;09/11/22;000000;131.06;131.47;126.42;127.3;64832870
SBER;D;10/11/22;000000;131.02;136.69;129.77;136.68;170890500
SBER;D;11/11/22;000000;137.71;138.42;135.13;136.98;75278900
SBER;D;14/11/22;000000;137.41;140.7;135.83;139.8;82383460
SBER;D;15/11/22;000000;140.4;141;130.86;135.66;145273030
SBER;D;16/11/22;000000;136.99;139.73;136.32;139.18;66816110
SBER;D;17/11/22;000000;139.11;140.35;136.6;137.57;59085810
SBER;D;18/11/22;000000;137.1;137.81;135.84;136.89;44009880
SBER;D;21/11/22;000000;136.01;136.3;132.51;134.46;83395500
SBER;D;22/11/22;000000;134.55;136;133.81;135.65;45774100
SBER;D;23/11/22;000000;135.7;137.55;134.5;136.59;52259060
SBER;D;24/11/22;000000;137;138.41;136.12;136.61;42319840
SBER;D;25/11/22;000000;137.2;137.24;135.41;136.53;29248180
SBER;D;28/11/22;000000;135.01;136.2;134.1;135.53;45047440
SBER;D;29/11/22;000000;136.29;137.2;135.88;136.37;31503750
SBER;D;30/11/22;000000;136.51;136.78;135.23;136.78;26797760
SBER;D;01/12/22;000000;137.11;137.95;136.31;137.15;32859350
SBER;D;02/12/22;000000;136.98;137.1;136.17;136.66;19212600
SBER;D;05/12/22;000000;136.66;142.68;136.25;142;103887240
SBER;D;06/12/22;000000;142.2;143.37;139.11;140.61;51734090
SBER;D;07/12/22;000000;140.5;142.81;138.36;142.32;69817930
SBER;D;08/12/22;000000;143.5;143.6;139.8;139.92;63554380
SBER;D;09/12/22;000000;139.7;140.7;139.24;140.03;29390220
SBER;D;12/12/22;000000;140.19;140.87;138.7;139.48;33347970
SBER;D;13/12/22;000000;139.65;139.93;136.67;138.13;52159500
SBER;D;14/12/22;000000;138.25;138.25;136.6;137.3;34031240
SBER;D;15/12/22;000000;136.97;137.08;134.3;134.55;54698540
SBER;D;16/12/22;000000;134.5;136.09;134.13;135.45;32731270
SBER;D;19/12/22;000000;135.13;136.73;132.86;134.64;58784640
SBER;D;20/12/22;000000;134.51;138.4;134.41;138.28;44987710
SBER;D;21/12/22;000000;138.7;139.12;135.81;137.75;45361520
SBER;D;22/12/22;000000;137.99;138.97;137;137.69;30488490
SBER;D;23/12/22;000000;137.49;138.26;136.81;137.94;22816280
SBER;D;26/12/22;000000;138.34;141;138;140.95;49323760
SBER;D;27/12/22;000000;141.31;142;139.6;139.9;41507480
SBER;D;28/12/22;000000;139.79;140.4;138.6;139.51;27937090
SBER;D;29/12/22;000000;139.5;141.65;139.22;140.96;32029570
SBER;D;30/12/22;000000;140.84;141.48;140.13;141.15;28072880
SBER;D;03/01/23;000000;141.6;143.25;141.56;141.78;21027110
SBER;D;04/01/23;000000;141.84;142.28;140.75;141.43;17094250
SBER;D;05/01/23;000000;141.6;141.84;140.54;141.27;17236330
SBER;D;06/01/23;000000;141.35;141.62;140.9;141.4;10647380
SBER;D;09/01/23;000000;141.84;142.99;141.65;142.4;31314900
SBER;D;10/01/23;000000;142.11;142.85;141.31;142.81;23691190
SBER;D;11/01/23;000000;142.97;149.98;142.87;149.96;123046960
SBER;D;12/01/23;000000;150.05;150.79;148.39;149.3;46557290
SBER;D;13/01/23;000000;149.57;153.28;147.71;151.69;88460580
SBER;D;16/01/23;000000;152.85;154;151.88;153.71;51527810
SBER;D;17/01/23;000000;153.97;154.31;150.01;150.45;84226560
SBER;D;18/01/23;000000;150.4;153;149.41;151.47;67364580
SBER;D;19/01/23;000000;151.2;152.85;148.56;149.34;66640910
SBER;D;20/01/23;000000;149.7;151.4;148.64;151.38;44165570
SBER;D;23/01/23;000000;151.9;154.1;151.01;153.5;55100140
SBER;D;24/01/23;000000;153.94;155.58;152.28;152.66;78662030
SBER;D;25/01/23;000000;152.45;153.6;151.5;152.81;43317800
SBER;D;26/01/23;000000;153.32;154.3;151.73;152.4;45375340
SBER;D;27/01/23;000000;152.4;153.48;151.69;153.2;34069080
SBER;D;30/01/23;000000;153.5;153.88;152.21;153.38;31014210
SBER;D;31/01/23;000000;153.51;158.18;153.3;158.07;77840320
SBER;D;01/02/23;000000;158.2;159.6;156.5;158.29;66229060
SBER;D;02/02/23;000000;158.39;160.29;157.37;159.45;53822290
SBER;D;03/02/23;000000;159.09;162.32;157.88;161.26;63595690
SBER;D;06/02/23;000000;161.71;167.17;161.01;167.09;88885050
SBER;D;07/02/23;000000;167.3;168.7;163.4;165.39;92561690
SBER;D;08/02/23;000000;165.1;166.35;162.7;164.15;58565870
SBER;D;09/02/23;000000;164.35;167.47;161.27;165.31;107000260
SBER;D;10/02/23;000000;165;166.49;164.5;165.52;40772540
SBER;D;13/02/23;000000;165.21;166.88;164.17;164.32;36134650
SBER;D;14/02/23;000000;164.3;164.38;161.64;161.86;58676770
SBER;D;15/02/23;000000;160.93;161.12;153.83;156.25;113600860
SBER;D;16/02/23;000000;157.34;159.3;156.25;158.22;68386460
SBER;D;17/02/23;000000;157.95;160.38;156.91;159.73;51777410
SBER;D;20/02/23;000000;159.42;161.3;156.73;160.09;63810790
SBER;D;21/02/23;000000;160.64;165.65;159.26;164.15;127324000
SBER;D;22/02/23;000000;164.13;164.42;162.5;163.37;43695690
SBER;D;24/02/23;000000;163.33;165.5;163.1;164.3;37700530
SBER;D;27/02/23;000000;163.64;170;162.96;169.95;100005170
SBER;D;28/02/23;000000;170.48;171.92;168.37;169.82;80540860
SBER;D;01/03/23;000000;170.4;171.66;169.5;170.53;53655680
SBER;D;02/03/23;000000;170.4;170.4;166.55;168.05;86014000
SBER;D;03/03/23;000000;168.2;171.26;167.9;171.16;49424990
SBER;D;06/03/23;000000;172.13;172.99;171.35;171.84;64237540
SBER;D;07/03/23;000000;171.87;174.2;171;174.01;55231190
SBER;D;09/03/23;000000;174.85;174.89;172.21;172.55;79748090
SBER;D;10/03/23;000000;171.71;173;170.58;172.53;49778720
SBER;D;13/03/23;000000;172.53;173.9;169.26;172.15;73298080
SBER;D;14/03/23;000000;171.65;176.95;171.01;175.71;89212040
SBER;D;15/03/23;000000;176;177.37;173.59;175.3;79838900
SBER;D;16/03/23;000000;174.9;176.04;173.36;175.45;51345380
SBER;D;17/03/23;000000;183.02;193.66;178.56;193.59;384905230
SBER;D;20/03/23;000000;196.03;205.09;195;203.73;155827740
SBER;D;21/03/23;000000;204.75;208;201.25;203.32;122268990
SBER;D;22/03/23;000000;203.41;204.4;201.59;202.89;57464560
SBER;D;23/03/23;000000;202.55;204.2;202.22;202.58;26484020
SBER;D;24/03/23;000000;202.85;203.85;202;203.57;24297290
SBER;D;27/03/23;000000;204.02;213.2;204.01;211.84;101348890
SBER;D;28/03/23;000000;212.85;214.7;210.67;214.03;73669280
SBER;D;29/03/23;000000;214.86;219.53;213.6;217.99;96549640
SBER;D;30/03/23;000000;217.34;218.45;216.12;216.87;40737550
SBER;D;31/03/23;000000;217.2;217.35;211.3;216.6;88023190
SBER;D;03/04/23;000000;218.45;219.44;214.8;216.09;54788980
SBER;D;04/04/23;000000;216.2;217.29;213.8;214.83;45747250
SBER;D;05/04/23;000000;214.69;216.3;211.4;216.15;46127960
SBER;D;06/04/23;000000;216.3;217.38;214.07;214.25;38993420
SBER;D;07/04/23;000000;214.5;216.39;213.65;216.27;29157060
SBER;D;10/04/23;000000;217.1;222.26;216.61;222.21;84958930
SBER;D;11/04/23;000000;222.9;223.33;217.62;218.6;98349200
SBER;D;12/04/23;000000;218.62;219.7;216.67;219.22;44633200
SBER;D;13/04/23;000000;219.41;220.89;218;219.85;32580550
SBER;D;14/04/23;000000;219.99;222.5;218.51;221.87;43248810
SBER;D;17/04/23;000000;222.97;228.2;222.91;228.1;78562510
SBER;D;18/04/23;000000;227.89;232.76;227.05;232.66;97459980
SBER;D;19/04/23;000000;232.67;237.37;231.1;232.95;115494020
SBER;D;20/04/23;000000;233.32;236.47;229.84;236.28;85046740
SBER;D;21/04/23;000000;237.4;238.85;233.52;235.17;115606560
SBER;D;24/04/23;000000;235.09;236.4;234.1;235.1;30405040
SBER;D;25/04/23;000000;235.16;235.82;234.21;235.3;32063750
SBER;D;26/04/23;000000;235.55;235.95;234.91;235.21;24351620
SBER;D;27/04/23;000000;235.51;240.74;235.13;240.38;68224840
SBER;D;28/04/23;000000;240.86;241.58;237.66;240.38;49494960
SBER;D;02/05/23;000000;242.2;245;237.4;242.62;83246880
SBER;D;03/05/23;000000;242.85;242.99;234;235.77;76740930
SBER;D;04/05/23;000000;236.51;239.74;236.05;238.89;53006840
SBER;D;05/05/23;000000;239.19;240.66;237.3;237.7;61314710
SBER;D;08/05/23;000000;238.65;239.86;237.36;238.27;47676110
SBER;D;10/05/23;000000;216.51;227.5;215.7;227.06;154134860
SBER;D;11/05/23;000000;228.57;235.38;223.94;229.32;197037380
SBER;D;12/05/23;000000;231.05;232.47;226.15;229.29;69831820
SBER;D;15/05/23;000000;230.54;231.75;228.52;231.7;48873370
SBER;D;16/05/23;000000;232.4;232.86;229.57;230.62;36429340
SBER;D;17/05/23;000000;229.86;230.97;228.75;230.55;31635370
SBER;D;18/05/23;000000;231.72;234.49;230.72;231.7;55909060
SBER;D;19/05/23;000000;230.98;232.3;229.81;231.27;31540330
SBER;D;22/05/23;000000;232.2;232.78;230;231;26351890
SBER;D;23/05/23;000000;231.24;237.29;230.21;236.43;62996030
SBER;D;24/05/23;000000;237.49;246.13;236.26;246.06;85850770
SBER;D;25/05/23;000000;246.11;247.4;242.65;243.76;70582820
SBER;D;26/05/23;000000;243.49;249.64;242.81;248.1;69113640
SBER;D;29/05/23;000000;249.77;252.59;248.85;251.18;67591330
SBER;D;30/05/23;000000;248.84;250.85;243.8;244.65;82871290
SBER;D;31/05/23;000000;244;247.18;240.27;246.17;72797140
SBER;D;01/06/23;000000;247;247;240.57;241.66;51897410
SBER;D;02/06/23;000000;242.01;245.5;240.77;243.95;46465000
SBER;D;05/06/23;000000;243.51;244.15;235.1;237.12;78650640
SBER;D;06/06/23;000000;236;242.1;232.54;240.91;100337100
SBER;D;07/06/23;000000;241.23;244.39;238.56;241.25;63082450
SBER;D;08/06/23;000000;241.3;242.78;239.55;241.77;29851820
SBER;D;09/06/23;000000;242.79;243;240.11;240.4;27458600
SBER;D;13/06/23;000000;241.51;244.5;240.63;244.33;40478120
SBER;D;14/06/23;000000;245.7;247.68;242.8;244.6;51810860
SBER;D;15/06/23;000000;245.12;245.94;243.22;245.18;40015310
SBER;D;16/06/23;000000;245.5;245.9;243.7;243.87;23311220
SBER;D;19/06/23;000000;244.46;244.69;241.32;242.28;29777860
SBER;D;20/06/23;000000;241.95;242.22;238.82;241.74;36578050
SBER;D;21/06/23;000000;241.9;243.92;240.6;242.2;26644780
SBER;D;22/06/23;000000;242.1;242.8;240.13;240.66;23093570
SBER;D;23/06/23;000000;239.96;240.99;234.34;235.67;61661860
SBER;D;26/06/23;000000;239.6;240.5;233.4;238.4;81032100
SBER;D;27/06/23;000000;239.02;242.34;236.8;241.21;51321260
SBER;D;28/06/23;000000;241.8;241.8;238.6;239.67;28217550
SBER;D;29/06/23;000000;239.75;241.26;239.02;239.99;28077670
SBER;D;30/06/23;000000;240;240.68;238.36;239.61;24011230
SBER;D;03/07/23;000000;240;244.56;239.15;243.33;47207170
SBER;D;04/07/23;000000;243.45;243.78;240.61;240.7;41487820
SBER;D;05/07/23;000000;241.48;241.9;240.24;240.95;19841190
SBER;D;06/07/23;000000;241.45;242.47;240.71;240.96;23175870
SBER;D;07/07/23;000000;241.2;243.75;240.7;243.67;30201090
SBER;D;10/07/23;000000;244.22;249.45;244.2;249.4;64946220
SBER;D;11/07/23;000000;250.02;250.2;246.51;247.99;49073930
SBER;D;12/07/23;000000;248.39;249.2;246.1;247.52;39166310
SBER;D;13/07/23;000000;247.96;248.15;245.34;246.19;29474970
